,IDU,i_mutli_crit
248,310330I0259,0.13046131270099492
249,310330I0260,0.13070669968683862
250,310330I0263,0.1368476377235158
251,310330I0264,0.13629196585500397
252,310330I0376,0.13021537062651933
253,310330I0610,0.13572037980251445
254,310330I0375,0.12966576398446428
255,310330I0267,0.13584375434766904
256,310330I0609,0.1356571179823309
257,310330I0600,0.13038520311439053
258,310330I0602,0.13000147420439892
259,310330I0599,0.1322754668341921
260,310330I0601,0.1315615596282308
261,310330I0473,0.13426078637171754
262,310330I0472,0.1309826078109296
263,310330I0399,0.13125306583622076
264,310330I0400,0.1336337828918859
265,310330I0258,0.1313441689730172
266,310330I0261,0.13138008278163812
267,310330I0505,0.1332340262947626
268,310330I0480,0.1273096669212349
269,310330I0477,0.1333920431347515
270,310330I0476,0.13675159445506682
271,310330I0516,0.12981651543199818
272,310330I0413,0.1363284645515418
273,310330I0412,0.13373775348706327
274,310330I0229,0.13357386028667104
275,310330I0250,0.12808264524181312
276,310330I0456,0.14382759837124634
277,310330I0455,0.13507131011665757
278,310330I0517,0.13856266143403628
279,310330I0591,0.12990243776245203
280,310330I0592,0.14817206166144764
281,310330I0254,0.13462318785528135
282,310330I0506,0.12954234968642528
283,310330I0408,0.13362212105274301
284,310330I0228,0.14199420967595894
285,310330N0332,0.13490882509741092
286,310330N0141,0.1361264826064025
287,310330N0143,0.13632940015383666
288,310330N0140,0.13664784093082147
289,310330N0138,0.1360159368723488
290,310330N0139,0.13879180935617502
291,310330N0137,0.1356363195430778
292,310330N0136,0.13861505010256917
293,310330N0330,0.13621668733184236
294,310330N0142,0.13971791196665606
295,310330N0144,0.13855372696735846
296,310330N0146,0.14465405860847572
297,310330N0291,0.14308522592302425
298,310330O0165,0.1392137064633366
299,310330O0167,0.13903888342531154
300,310330O0166,0.1394162877773702
301,310330O0161,0.1406071675751904
302,310330O0164,0.1404261830834174
303,310330O0163,0.141326411526712
304,310330O0168,0.15883112345737144
305,310330O0141,0.1410641064537128
306,310330O0139,0.14057821144173346
307,310330O0075,0.14568703754008364
308,310330O0571,0.13820553137211544
309,310330O0688,0.14126081746812869
310,310330O0572,0.13883585537606788
311,310330O0553,0.1415153853242021
312,310330O0140,0.1447082379913362
313,310330O0142,0.14311899649098575
314,310330O0135,0.14541999350263768
315,310330O0687,0.1509870814272134
316,310330O0133,0.1397458783308073
317,310330O0129,0.14054121891109553
318,310330O0128,0.14502011512107135
319,310330O0686,0.14788479847921732
320,310330O0132,0.14274105459501915
321,310330O0134,0.14459630079526237
322,310330O0975,0.14252926013789252
323,310330O0974,0.142028247974283
324,310330O0512,0.14156000666867788
325,310330O0846,0.1443189071012618
326,310330O0973,0.1478453388795247
327,310330O1062,0.14117515951595083
328,310330O1024,0.13910205326099487
329,310330O0957,0.14317160219725664
330,310330O0976,0.14763009684412384
331,310330O0892,0.1445033268939426
332,310330O0343,0.1493878770897672
333,310330O0827,0.14425289615281467
334,310330O0999,0.141890019814931
335,310330O0758,0.14708209489533042
336,310330O1021,0.13900812539744217
337,310330O1020,0.14235404172738877
338,310330O1025,0.14132507734592184
339,310330O0959,0.1437383987617581
340,310330O0834,0.14239293341530634
341,310330O0946,0.147348201450213
342,310330O0835,0.1442829251317653
343,310330O0647,0.1472807143795288
344,310330O0702,0.14706434160770213
345,310330O0578,0.14923363979999885
346,310330O0577,0.14981454679475648
347,310330O0378,0.15709215883678354
348,310330O0955,0.14217896713199507
349,310330O0952,0.14770348479399906
350,310330O0953,0.14020204561641936
351,310330O1029,0.14149497939808414
352,310330O1028,0.16571275233429741
353,310330O1098,0.14182482495214782
354,310330O0954,0.15790175655919952
355,310330O1099,0.15526362504419927
356,310330P1153,0.14366123419840945
357,310330P1152,0.14341837516286482
358,310330Q0005,0.1654217177708017
359,310330Q0006,0.1604978449416546
360,310330Q0821,0.1505465537066319
361,310330Q0393,0.17933185438296895
362,310330R0375,0.14242273872504724
363,310330R0682,0.1377392107195219
364,310330R0684,0.1388310961212869
365,310330R0685,0.13895845776643828
366,310330R0400,0.1387395650378254
367,310330R0054,0.13998643024489982
368,310330R0059,0.13936947308929418
369,310330R0401,0.14094346613547504
370,310330R0691,0.1398834089769668
371,310330R0028,0.14056291054454498
372,310330R0065,0.13998094894705107
373,310330R0052,0.14019396682541513
374,310330R0053,0.13937536102196002
375,310330R0049,0.14362582128200113
376,310330R0068,0.14151739633278293
377,310330R0365,0.17287878746604107
378,310330R0006,0.17702581175676482
379,310330R0525,0.1569267313500597
380,310330R0374,0.1408620735288481
381,310330S0050,0.14678797823334264
382,310330S0048,0.14048832767974698
383,310330S0049,0.1424688091390059
384,310330S0046,0.1592998392543088
385,310330S0053,0.15117288976169158
386,310330S0008,0.17597566135215717
387,31033AA0091,0.1415682218758358
388,31033AA0090,0.143886894156113
389,31033AA0092,0.1404828208491858
390,31033AA0094,0.14056359093841994
391,31033AA0099,0.1407114326409567
392,31033AA0088,0.14104790238795836
393,31033AA0114,0.14074154633319808
394,31033AA0078,0.1425483760510164
395,31033AA0119,0.1418810257327254
396,31033AA0073,0.14318041142231056
397,31033AA0097,0.14214943795750948
398,31033AA0086,0.14111812993408665
